public_metrics,edit_history_tweet_ids,text,created_at,id,referenced_tweets,entities,attachments,like_count,retweet_count
"{'retweet_count': 1, 'reply_count': 8, 'like_count': 35, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4028}",['1872529015665578451'],gm 🧠,2024-12-27 06:24:41+00:00,1872529015665578451,,,,35,1
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 607}",['1872524243663208448'],@rugunicorn Yes,2024-12-27 06:05:44+00:00,1872524243663208448,"[{'type': 'replied_to', 'id': '1872518606942286040'}]",,,0,0
"{'retweet_count': 35, 'reply_count': 15, 'like_count': 203, 'quote_count': 10, 'bookmark_count': 45, 'impression_count': 58756}",['1872334860813287578'],"$NEURON is Now Live on Base! 🧠

Following the CDP-7, we have created a liquidity pool on Aerodrome Finance to advance brain health and prevent neurodegeneration with reduced gas fees. 

Aerodrome Finance Pool: https://t.co/GuAde4UjVA

Base Contract Address: https://t.co/AhcInDmlLr",2024-12-26 17:33:11+00:00,1872334860813287578,,"{'urls': [{'start': 210, 'end': 233, 'url': 'https://t.co/GuAde4UjVA', 'expanded_url': 'https://aerodrome.finance/deposit?token0=0x3568c7a4f7545805e379c264303239781B4E9A79&token1=0x4200000000000000000000000000000000000006&type=-1', 'display_url': 'aerodrome.finance/deposit?token0…', 'unwound_url': 'https://aerodrome.finance/deposit?token0=0x3568c7a4f7545805e379c264303239781B4E9A79&token1=0x4200000000000000000000000000000000000006&type=-1'}, {'start': 258, 'end': 281, 'url': 'https://t.co/AhcInDmlLr', 'expanded_url': 'https://x.com/Cerebrum_DAO/status/1872334860813287578/photo/1', 'display_url': 'pic.x.com/AhcInDmlLr', 'media_key': '3_1872334672711016448'}], 'annotations': [{'start': 1, 'end': 6, 'probability': 0.5747, 'type': 'Other', 'normalized_text': 'NEURON'}, {'start': 89, 'end': 105, 'probability': 0.7803, 'type': 'Other', 'normalized_text': 'Aerodrome Finance'}, {'start': 186, 'end': 207, 'probability': 0.6958, 'type': 'Other', 'normalized_text': 'Aerodrome Finance Pool'}], 'cashtags': [{'start': 0, 'end': 7, 'tag': 'NEURON'}]}",{'media_keys': ['3_1872334672711016448']},203,35
"{'retweet_count': 15, 'reply_count': 5, 'like_count': 76, 'quote_count': 0, 'bookmark_count': 9, 'impression_count': 10195}",['1872208623931412928'],"It's just heartwarming seeing how much each BioDAO grew over the past few years. Well done for everyone that continued to build and remains focused on creating a new way to do science.

Let's keep up the great work - Brains Helping Brains 🧠 #DeSci https://t.co/2HyZXqe0Yx",2024-12-26 09:11:34+00:00,1872208623931412928,"[{'type': 'quoted', 'id': '1871689823427387878'}]","{'urls': [{'start': 248, 'end': 271, 'url': 'https://t.co/2HyZXqe0Yx', 'expanded_url': 'https://twitter.com/BioProtocol/status/1871689823427387878', 'display_url': 'x.com/BioProtocol/st…'}], 'hashtags': [{'start': 241, 'end': 247, 'tag': 'DeSci'}], 'annotations': [{'start': 44, 'end': 49, 'probability': 0.755, 'type': 'Other', 'normalized_text': 'BioDAO'}]}",,76,15
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 183}",['1872207973826846911'],@BitgetWallet @bioprotocol @pumpdotscience @vita_dao @Molecule_dao @psy_dao @athena_DAO_ @valley_dao @QuantumBioDAO @HairDAO_ @longcovidlabs @endrarediseases Change is finally here - 🧠,2024-12-26 09:08:59+00:00,1872207973826846911,"[{'type': 'replied_to', 'id': '1871848885473214728'}]","{'mentions': [{'start': 0, 'end': 13, 'username': 'BitgetWallet', 'id': '1040124936843550720'}, {'start': 14, 'end': 26, 'username': 'bioprotocol', 'id': '1531639904567971840'}, {'start': 27, 'end': 42, 'username': 'pumpdotscience', 'id': '1833183120126095360'}, {'start': 43, 'end': 52, 'username': 'vita_dao', 'id': '1361314891425067009'}, {'start': 53, 'end': 66, 'username': 'Molecule_dao', 'id': '981035585933627392'}, {'start': 67, 'end': 75, 'username': 'psy_dao', 'id': '1445488879801233425'}, {'start': 76, 'end': 88, 'username': 'athena_DAO_', 'id': '1539990766298218497'}, {'start': 89, 'end': 100, 'username': 'valley_dao', 'id': '1501578751121010695'}, {'start': 101, 'end': 115, 'username': 'QuantumBioDAO', 'id': '1816231105743446020'}, {'start': 116, 'end': 125, 'username': 'HairDAO_', 'id': '1460612851857514504'}, {'start': 126, 'end': 140, 'username': 'longcovidlabs', 'id': '1844480997565530113'}, {'start': 141, 'end': 157, 'username': 'endrarediseases', 'id': '1846950638296748034'}]}",,2,0
"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1872207654040592415'],RT @bmagierski: This is why we #DeSci . Such an inspiring life altering use case that had not been thought of until now. We are unlocking p…,2024-12-26 09:07:43+00:00,1872207654040592415,"[{'type': 'retweeted', 'id': '1872204114723021175'}]","{'mentions': [{'start': 3, 'end': 14, 'username': 'bmagierski', 'id': '6492452'}], 'hashtags': [{'start': 31, 'end': 37, 'tag': 'DeSci'}], 'annotations': [{'start': 32, 'end': 36, 'probability': 0.4306, 'type': 'Other', 'normalized_text': 'DeSci'}]}",,0,6
"{'retweet_count': 10, 'reply_count': 1, 'like_count': 74, 'quote_count': 1, 'bookmark_count': 2, 'impression_count': 13144}",['1871897464086863974'],Sci-ence! 🧠🧪 https://t.co/OdKprbCRNW,2024-12-25 12:35:08+00:00,1871897464086863974,"[{'type': 'quoted', 'id': '1871212499854323961'}]","{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/OdKprbCRNW', 'expanded_url': 'https://twitter.com/BioProtocol/status/1871212499854323961', 'display_url': 'x.com/BioProtocol/st…'}]}",,74,10
"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1871897021092966749'],"RT @NFTevening: 🎓Understand Bio Protocol Ecosystem

How do #DeSci Projects use #NFT in funding healthcare research?

🧵Check out this thread…",2024-12-25 12:33:22+00:00,1871897021092966749,"[{'type': 'retweeted', 'id': '1871777924199993662'}]","{'mentions': [{'start': 3, 'end': 14, 'username': 'NFTevening', 'id': '1398219687079538689'}], 'hashtags': [{'start': 59, 'end': 65, 'tag': 'DeSci'}, {'start': 79, 'end': 83, 'tag': 'NFT'}], 'annotations': [{'start': 28, 'end': 39, 'probability': 0.5906, 'type': 'Other', 'normalized_text': 'Bio Protocol'}, {'start': 60, 'end': 64, 'probability': 0.5653, 'type': 'Other', 'normalized_text': 'DeSci'}, {'start': 80, 'end': 82, 'probability': 0.5956, 'type': 'Other', 'normalized_text': 'NFT'}]}",,0,6
"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1871835814419980762'],"RT @NFTevening: 3. Cerebrum DAO

Brain health is one of the most important cornerstones of human’s life, the way this project using IP-NFT…",2024-12-25 08:30:09+00:00,1871835814419980762,"[{'type': 'retweeted', 'id': '1871777933997879299'}]","{'mentions': [{'start': 3, 'end': 14, 'username': 'NFTevening', 'id': '1398219687079538689'}], 'annotations': [{'start': 19, 'end': 30, 'probability': 0.9543, 'type': 'Other', 'normalized_text': 'Cerebrum DAO'}, {'start': 132, 'end': 137, 'probability': 0.6453, 'type': 'Other', 'normalized_text': 'IP-NFT'}]}",,0,7
"{'retweet_count': 6, 'reply_count': 4, 'like_count': 46, 'quote_count': 0, 'bookmark_count': 5, 'impression_count': 4968}",['1871251120334782554'],We are announcing something big soon! Get ready to a season full of surprises and excitements. #DeSci season is here! 🧠🎉 https://t.co/d5NGkwWlqp,2024-12-23 17:46:47+00:00,1871251120334782554,,"{'urls': [{'start': 121, 'end': 144, 'url': 'https://t.co/d5NGkwWlqp', 'expanded_url': 'https://x.com/Cerebrum_DAO/status/1871251120334782554/photo/1', 'display_url': 'pic.x.com/d5NGkwWlqp', 'media_key': '16_1871251110503022592'}], 'hashtags': [{'start': 95, 'end': 101, 'tag': 'DeSci'}], 'annotations': [{'start': 96, 'end': 100, 'probability': 0.678, 'type': 'Other', 'normalized_text': 'DeSci'}]}",{'media_keys': ['16_1871251110503022592']},46,6
